matrix,rows,columns,contexts,status,detail
quality-rule-severity,23,6,1,PASS,
quality-skip-policy,1,5,1,PASS,
rate-unit-conversion,3,5,1,PASS,
receipt-note-policy,2,5,1,PASS,
record-columns,47,7,1,PASS,
record-families,18,6,1,PASS,
record-family-routing,3,6,2,PASS,
record-preference-order,3,6,2,PASS,
record-status-policy,4,5,1,PASS,
reference-source-rules,6,6,2,PASS,
release-expectations,5,6,2,PASS,
retired-fields,1,5,1,PASS,
return-construction,9,5,1,PASS,
review-disagreement-aggregation,1,5,1,PASS,
review-document-inclusion,1,5,1,PASS,
review-fact-key-fields,10,6,2,PASS,
review-fact-match-policy,2,5,1,PASS,
review-lineage-field-map,3,5,1,PASS,
review-lineage-match-policy,2,5,1,PASS,
review-list-parsing,1,5,1,PASS,
review-output-defaults,2,5,1,PASS,
review-sampling,3,5,1,PASS,
review-selection-policy,2,5,1,PASS,
review-status-to-summary-column,4,5,1,PASS,
review-summary-formulas,3,5,1,PASS,
review-trace-sampling,3,5,1,PASS,
reviewer-promotion-status,4,5,1,PASS,
round02-source-decision,2,5,1,PASS,
rounding-policy,6,6,2,PASS,
routing-status,2,6,1,PASS,
run-identifiers,2,5,1,PASS,
sampling-policy,3,5,1,PASS,
scale-defaults,2,5,1,PASS,
scale-words,5,6,1,PASS,
solver-settings,3,5,1,PASS,
source-date-order,3,5,1,PASS,
source-master-fields,4,5,1,PASS,
source-metadata-duplicate-policy,1,5,1,PASS,
source-path-parsing,1,5,1,PASS,
source-path-selection,2,5,1,PASS,
source-prefix-gate-routing,1,6,1,PASS,
split-number-rules,3,5,1,PASS,
status-precedence,3,5,1,PASS,
strategy-benchmark-map,16,7,1,PASS,
strategy-benchmark,8,5,1,PASS,
strategy-income-yield,5,5,1,PASS,
strategy-liquidity,8,5,1,PASS,
strategy-volatility,9,5,1,PASS,
subject-kind,8,5,1,PASS,
subject-type-entity-kind,1,5,1,PASS,
summary-statistics,2,5,1,PASS,
table-cell-rule,2,5,1,PASS,
table-record-id-fields,8,5,1,PASS,
table-source-field,8,5,1,PASS,
template-patterns,1,5,1,PASS,
term-to-fund-terms-column,7,5,1,PASS,
term-vocabulary,30,9,1,PASS,
terms-generation-parameters,19,6,4,PASS,
text-categories,3,6,2,PASS,
text-layer-classification,4,5,1,PASS,
text-sanitization,5,5,1,PASS,
text-value-fallback,2,5,1,PASS,
ticker-classification,75,6,3,PASS,
ticker-pme-role,12,5,1,PASS,
unit-scale-defaults,2,5,1,PASS,
unit-scale,4,5,1,PASS,
unmapped-observation-dispositions,20,5,1,PASS,
unmatched-entity-policy,2,5,1,PASS,
value-kind-classification,4,5,1,PASS,
value-kind-defaults,3,5,1,PASS,
value-kind-parse,2,5,1,PASS,
value-repair,6,6,2,PASS,
vintage-parse,2,5,1,PASS,
weight-quantum,1,5,1,PASS,
wide-cell-value-source,5,5,1,PASS,
wide-collision-policy,3,5,1,PASS,
wide-column-grouping,1,5,1,PASS,
wide-column-renames,3,6,2,PASS,
wide-context-precedence,16,6,4,PASS,
wide-grain,9,5,1,PASS,
wide-scale-status,2,5,1,PASS,
wide-unparsed-value-policy,2,5,1,PASS,
xirr-excluded-cashflow-types,3,5,1,PASS,
